"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"LRRC61",428.544298319604,-0.197877404944446,0.121566803570409,-1.62772565480707,0.103583070741925,0.223520548427908,"NS"
"LRRC6",80.2600245022462,0.27843728986028,0.132848458874008,2.0959015424059,0.0360909258733392,0.105224438053587,"NS"
"LRRC66",192.740368293504,0.173009305338566,0.232183085234719,0.745141727975865,0.456186045583043,0.620458151936644,"NS"
"LRRC69",3.56158489796554,-0.437836846102372,0.216791298525278,-2.01962370759691,0.0434224341121573,0.121035705567714,"NS"
"LRRC70",50.5257643566572,-0.230231723403823,0.13542363755211,-1.70008521086455,0.0891148986715591,0.20133453093457,"NS"
"LRRC7",6.43918773881908,-1.10000270617031,0.302871481955175,-3.63191245035449,0.000281328573202304,0.00294990150578264,"Down in DECEASED"
"LRRC8A",4202.57926892008,0.378802266953016,0.12924255428808,2.93094073418473,0.00337937246184618,0.0190596161608011,"NS"
"LRRC8B",526.542709134505,0.249196323048656,0.0766535457381406,3.25094319706939,0.00115022836151568,0.00855204526019666,"NS"
"LRRC8C",455.783130230398,0.00729078832146043,0.118932670279936,0.0613018130703686,0.951118846898492,0.972705489783365,"NS"
"LRRC8D",594.836106760843,-0.0105614680051767,0.059836501588373,-0.17650543940271,0.859896875744659,0.91990940134333,"NS"
"LRRC8E",299.714483273644,0.512210206167725,0.143814730469459,3.56159765064191,0.000368604962573313,0.0036252859127759,"NS"
"LRRCC1",290.280878286188,0.15440650954145,0.0761658787784735,2.02723991395856,0.0426378830557807,0.119451647834446,"NS"
"LRRFIP1",3969.3180412127,0.208940718112082,0.0833346200814464,2.507249902956,0.012167465306843,0.0476450502798108,"NS"
"LRRFIP2",929.892175335066,0.121318778631102,0.0492385272296027,2.46389941895263,0.013743467213098,0.0521216808615453,"NS"
"LRRIQ1",17.4070151535566,-0.610724474580578,0.242095605387471,-2.52265824323048,0.0116471533513409,0.0461546417114119,"NS"
"LRRIQ3",7.4533982983236,-0.185762839018806,0.176677883547793,-1.05142101143947,0.293065269830477,0.458698045274886,"NS"
"LRRIQ4",6.25411994354694,-0.031061917409792,0.325438043364163,-0.0954464852624309,0.923960194685142,0.955141898912925,"NS"
